Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0079,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,"2,16,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,"2,16,910"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,"2,16,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,16,633"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,277
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,"2,348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,348"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"2,44,54,442","1,85,14,394","79,31,240","19,80,915","19,90,917","61,50,550","2,04,666",0,"18,33,264","31,06,738","1,75,248","3,342","1,24,194",61,"10,371",0,"9,86,471","3,45,865",0,"23,361","26,493","24,557","1,86,743","43,454","2,67,313","1,49,128","35,961","22,544","17,83,282",0,941,"6,950","56,899","13,221","4,08,716",0,"7,009","7,213","58,008","39,508","2,058","54,359","1,216","12,252","10,089",32,103,"2,063","2,021",8,,"1,378","74,522","4,024",0,0,"35,577","37,606",0,167,"4,881",79,"35,327","1,579","1,255",0,30,12,0,0,2,0,0,"6,668",0,"7,12,61,287"
4.1. Valores representativos de deuda ..........................................................................................................,"2,02,83,162","1,77,51,172","78,78,666","18,86,675","19,67,579","61,09,745","1,60,646",0,"18,28,095","31,06,738","72,912",972,"1,23,987",0,56,0,"9,09,420","3,42,788",0,"23,057","9,185","24,260","1,83,488","43,035","2,44,364","1,28,818","35,041","19,723","17,83,282",0,0,"1,093","36,652","13,003","4,08,716",0,15,0,"57,376","33,325","2,058","21,578",1,0,"5,510",0,0,"2,063","2,020",0,,0,"26,409",0,0,0,0,0,0,0,"4,649",0,"35,327","1,579",0,0,0,0,0,0,0,0,0,0,0,"6,55,68,240"
4.2. Otros instrumentos de capital ..........................................................................................................,"41,71,280","7,63,222","52,574","94,240","23,338","40,805","44,020",0,"5,169",0,"1,02,336","2,369",207,61,"10,315",0,"77,051","3,077",0,304,"17,308",297,"3,255",418,"22,949","20,310",920,"2,821",0,0,941,"5,857","20,247",218,0,0,"6,994","7,213",632,"6,183",0,"32,781","1,215","12,252","4,579",32,103,0,1,8,,"1,378","48,113","4,024",0,0,"35,577","37,606",0,167,232,79,0,0,"1,255",0,30,12,0,0,2,0,0,"6,668",0,"56,93,045"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"1,79,33,181","57,96,291","24,17,209","16,49,622","15,06,656","53,50,979","91,965",0,"7,63,142",0,"29,202",0,474,0,0,0,"8,21,798","2,85,654",0,114,670,810,"73,922","43,035","2,55,027",0,56,0,"1,32,590",0,0,0,0,0,"1,22,340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"3,498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,72,78,235"
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"14,97,13,921","13,78,85,407","5,20,84,277","3,92,75,959","4,15,93,449","2,36,94,119","1,46,10,038","1,19,73,213","1,52,70,991","85,20,383","91,54,232","1,11,31,356","74,70,713","55,62,094","75,56,214","1,02,22,283","49,10,359","45,14,180","30,66,019","34,20,373","35,46,320","28,53,967","43,17,927","22,75,221","18,08,514","33,53,058","25,19,820","19,86,131","38,51,532","13,06,330","10,95,045","27,62,169","18,47,573","13,95,293","6,93,019","9,99,399","9,23,220","3,77,727","10,11,730","4,92,242","20,08,122","4,10,183","4,47,851","4,73,467","2,50,567","6,29,127","9,77,456","6,91,847","2,46,457","18,18,968",,"2,02,454","4,24,050","34,667","19,97,171","4,63,578","1,55,798","1,09,767","2,06,014","24,59,923","1,03,581","7,36,419","2,21,994","43,629","54,348","34,289","7,98,240","79,949","32,422","49,479","74,402","19,582","16,241","5,323","9,099","61,73,32,281"
5.1. Depósitos en entidades de crédito ..........................................................................................................,"1,68,74,572","3,74,88,573","1,34,44,111","53,40,311","1,06,96,698","26,33,567","6,83,404","1,19,73,207","19,49,366","36,279","3,93,875","27,41,112","2,27,450","55,62,094","58,60,395","76,97,254","10,09,807","2,39,795","28,27,140","48,401","23,65,106","85,022","37,62,144","5,01,784","2,29,136","14,47,373","32,470","7,48,935","94,718","12,98,650","10,57,473","20,62,332","15,67,661","22,970","1,58,867","14,585","7,27,883","53,207","98,227","2,68,573",0,"48,055","4,29,664","4,09,842","35,683","18,114",0,113,"1,52,452","18,18,875",,"98,782","1,93,799","34,450","38,391","1,69,119","85,066","94,422","1,40,040","1,60,713","92,502","2,35,013","6,236","24,893","26,715","20,713","1,685","47,732","32,422","39,895","74,131","19,557","16,241","4,785","9,099","14,89,03,726"
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,"9,00,219",0,0,"1,00,074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,00,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,00,589"
5.3. Crédito a la clientela ......................................................................................................................................................................,"13,19,72,970","9,50,36,116","3,78,50,899","3,34,12,484","3,04,58,156","2,08,56,343","1,38,35,634",6,"1,32,27,178","84,84,097","86,32,854","82,69,910","72,27,080",0,"16,91,086","25,24,212","38,60,317","42,46,505","1,92,040","33,52,790","11,79,370","27,53,463","3,21,558","17,60,853","15,67,801","18,87,491","24,70,684","11,94,722","37,51,748","7,670",462,"6,95,326","86,860","13,67,647","5,34,042","9,73,587","1,95,228","3,22,136","8,94,999","1,98,229","20,06,853","3,62,104","18,185","63,434","2,14,827","6,07,484","9,77,311","6,91,462","93,284",79,,"1,01,357","2,28,658",0,"19,58,360","2,86,204","70,687","11,701","14,685","22,98,817","10,440","5,01,397","1,82,605","18,276","27,461","13,574","7,96,398","16,603",0,"9,563",88,10,0,537,0,"45,88,76,997"
5.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"45,522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"3,644",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,"60,216"
5.5. Otros activos financieros ......................................................................................................................................................................,"8,66,379","44,60,499","7,89,267","5,23,164","3,38,521","2,04,209","91,000",0,"94,447",7,"1,27,503","1,20,334","16,183",0,"4,733",816,"40,235","27,880","1,316","19,182","1,843","15,482","33,929","12,584","11,577","18,194","16,666","42,474","5,066",10,"37,110","4,511","1,93,052","4,676",110,214,109,"2,384","18,504","25,440","1,269",24,2,191,57,"3,529",145,272,721,14,,"2,315","1,593",217,420,"8,255",45,0,"51,289",393,639,10,"33,153",424,172,2,157,"15,614",0,21,184,15,0,0,0,"82,90,752"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"26,78,274","1,43,25,712",0,"21,86,709","20,46,125",0,"4,04,399",0,"19,77,949",0,"12,96,493","17,97,861","28,256",0,"15,04,057",0,"7,19,706",0,0,"4,415","21,32,755","9,351",0,"48,000",0,"9,76,789","5,418","10,75,248",0,0,"8,14,540",0,"9,88,682",0,0,0,"2,69,104",0,"1,04,718","1,30,869",0,0,"24,446",0,0,0,0,0,0,0,,0,"1,81,167",0,0,0,"73,232","89,577",0,0,"33,250",0,"2,862",0,0,0,0,0,0,0,0,0,0,0,0,"3,59,29,964"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"35,79,438",0,"47,73,239",0,0,"4,63,778","42,230",0,0,0,"4,833",0,0,0,0,0,"97,962",0,0,0,0,0,0,"2,891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"1,174","12,344","6,980",0,632,0,0,0,0,0,0,0,"89,85,501"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"13,05,806",0,"44,12,513",0,0,"2,04,209",0,0,0,0,0,0,0,0,0,0,"11,920",0,0,0,0,0,0,"2,854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"59,37,302"
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"1,226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,226"
10. DERIVADOS DE COBERTURA ..........................................................................................................,"30,63,613","15,58,881",0,"2,46,096","51,721","72,203","7,906",0,351,"2,27,379","47,804","88,355","40,351",0,"64,041","6,443","4,095","12,253","9,696","14,050",0,"12,699",0,36,0,"5,809","7,576",0,0,0,0,0,0,"11,324",557,0,"7,177",0,0,0,"15,038",0,0,0,0,0,0,4,"7,024",0,,0,0,0,0,0,214,0,0,"2,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,85,597"
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"53,352","40,497","23,134","69,128","29,008","4,028","4,487",0,"2,743",215,"2,079",0,"6,231",0,0,"1,644","1,909",609,0,"5,014",0,"4,075",0,901,504,0,"3,187",312,0,0,0,0,0,449,0,209,0,0,316,372,272,11,0,0,24,79,0,0,0,0,,6,0,1,0,0,0,0,0,330,0,0,13,0,1,0,222,"6,922",3,0,0,0,0,0,0,"2,62,287"
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,"49,362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,362"
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4. Instrumentos de capital ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,958",0,0,0,0,0,0,0,"3,958"
11.5. Activo material ...............................................................................................................................................................................,"53,352","40,497","23,134","17,963","29,008","4,028","4,487",0,"2,743",215,"2,079",0,"6,231",0,0,"1,644","1,909",609,0,"5,014",0,"4,075",0,901,504,0,"3,187",312,0,0,0,0,0,449,0,209,0,0,316,372,272,11,0,0,24,79,0,0,0,0,,6,0,1,0,0,0,0,0,330,0,0,13,0,1,0,222,"2,964",3,0,0,0,0,0,0,"2,07,164"
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,"1,119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,119"
12. PARTICIPACIONES ..................................................................................................................................................................,"1,21,34,221","3,40,99,624","11,92,064","7,88,830","12,73,301","1,25,909","2,55,377",0,"51,153","1,459","96,669","42,025",361,7,"1,15,713","24,20,343","1,18,789","1,34,493",0,270,"13,869",177,"16,864",160,"22,119","41,140",180,"22,281",0,0,0,"1,53,662","3,069",90,"7,385",0,0,"14,719","5,107","4,698",0,"1,119",0,0,3,0,30,0,"3,997","1,22,014",,"23,290","3,007","1,48,712",676,"5,132","2,316","1,112","3,082","84,993",4,"17,977",0,"4,402","7,121",0,9,0,0,0,0,0,10,0,0,"5,35,85,134"
12.1. Entidades asociadas ......................................................................................................................................................................,"7,95,431","12,98,228","9,657","53,659","3,211",0,"1,09,106",0,"1,074",674,"46,007",0,0,7,0,"39,693",463,0,0,0,240,0,"5,471",0,19,638,0,0,0,0,0,0,0,0,95,0,0,"2,474",361,0,0,0,0,0,0,0,0,0,0,0,,0,"1,996","3,918",0,0,0,0,0,"5,821",0,"1,721",0,0,0,0,0,0,0,0,0,0,10,0,0,"23,79,974"
12.2. Entidades multigrupo ......................................................................................................................................................................,"2,620","14,676",0,"25,493","10,952","37,074","19,210",0,0,0,"33,612","2,908",361,0,0,"6,912",0,0,0,270,"13,508",177,0,0,0,"10,513",180,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,"1,78,697"
12.3. Entidades del grupo ......................................................................................................................................................................,"1,13,36,170","3,27,86,720","11,82,407","7,09,678","12,59,138","88,835","1,27,061",0,"50,079",785,"17,050","39,117",0,0,"1,15,713","23,73,738","1,18,326","1,34,493",0,0,120,0,"11,393",160,"22,100","29,989",0,"22,281",0,0,0,"1,53,662","3,069",0,"7,290",0,0,"12,245","4,746","4,698",0,"1,119",0,0,3,0,30,0,"3,997","1,22,014",,"23,290","1,011","1,44,794",676,"5,132","2,316","1,112","3,082","79,172",4,"16,256",0,"4,261","7,121",0,9,0,0,0,0,0,0,0,0,"5,10,26,462"
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"20,97,376","30,11,185","16,53,381","2,72,744","1,51,740",0,"52,993",0,"44,148","7,371","9,019",0,"14,299",0,580,"34,041",0,537,0,"11,382","2,180","9,897",0,"17,711",0,0,"8,215",0,0,0,0,0,0,"13,522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"74,12,321"
15. ACTIVO MATERIAL ..................................................................................................................................................................,"20,25,072","15,96,714","6,21,150","5,40,595","3,53,267","2,98,566","2,77,705",0,"2,03,404","27,024","1,58,229","48,036","64,250",0,"1,144","3,720","85,458","1,03,894",152,"29,642","18,266","24,635","1,510","27,163","32,977","80,156","20,821","4,826",253,69,267,"6,602","11,745","19,811",805,"2,448","1,467","10,630","26,348","8,153",236,"12,693",19,653,"7,915","4,174","2,463",972,"4,393",0,,"2,583",462,109,"4,496","4,952","4,728","1,374","3,894","4,351","4,039",148,"2,495","2,153","1,516",7,250,"28,429",2,"2,540",961,7,0,0,0,"68,39,988"
15.1. De uso propio ..................................................................................................................................................................,"19,99,586","15,86,976","6,09,554","5,39,544","3,51,737","2,98,416","2,69,341",0,"2,03,016","11,838","1,50,189","42,463","63,860",0,"1,144","3,720","85,458","1,03,857",152,"29,642","18,266","24,635","1,510","27,163","32,977","76,417","20,721","4,826",253,69,267,"6,602","11,745","19,193",805,"2,438","1,467","10,520","25,483","8,153",236,"11,980",19,653,"6,828","4,127","2,463",972,"4,393",0,,"2,583",462,109,"4,496","4,952","4,728","1,374","3,894","4,351","2,622",148,941,"2,153","1,516",7,250,"28,429",2,"2,540",961,7,0,0,0,"67,42,199"
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"25,486","9,738","11,596","1,051","1,530",0,"8,364",0,0,"15,186","8,040","5,573",390,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,618,0,10,0,110,865,0,0,0,0,0,"1,087",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,"1,417",0,"1,554",0,0,0,0,0,0,0,0,0,0,0,0,"92,715"
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,150,0,0,388,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,"3,739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0,0,47,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,074"
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,26,"4,52,365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,53,109"
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"47,364","2,298","27,882","3,279","10,090",337,"6,088",0,"8,636",0,379,0,120,0,0,208,0,"1,039",0,80,"2,924",41,325,931,"4,085",131,41,"4,908",4,0,"17,252","2,840","1,691",41,0,100,0,392,669,339,0,0,7,0,3,174,144,42,22,0,,"10,700",0,0,163,0,"5,983",39,992,182,"1,538",73,125,"1,345",0,0,57,0,0,51,"1,183",0,0,0,0,"1,67,337"
