Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"2,16,31,843",0,0,0,"29,670","60,502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,764",0,251,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,17,57,062",
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"2,12,50,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,12,50,370",
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"3,81,473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,81,473",
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"40,163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,414",
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"29,670","20,339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,764",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,805",
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,53,61,956","1,29,87,000","1,04,58,262","36,04,221","42,81,665","46,71,788","14,37,932","13,46,597","2,05,941","16,678","76,958","27,78,927","5,74,684","2,08,866","1,35,831",0,61,832,"9,753","3,05,298","10,074","4,51,379","22,45,923","6,28,127","14,617","42,995","1,71,691",0,"9,230","6,394","7,562","6,200","2,03,296",0,"1,983","1,02,332","2,165","63,977","7,291",0,"81,822","88,878",32,"23,901",244,"9,626","1,983","1,319",32,"1,59,905",0,0,"3,506",8,"12,365","1,53,522",201,"45,041",0,7,2,"2,560",0,30,"2,033",0,"3,750",0,0,0,0,"6,30,29,253",
4.1. Valores representativos de deuda ..........................................................................................................,"65,19,635","1,10,59,295","1,03,70,735","35,00,132","42,21,870","46,11,887","9,91,310","13,43,611","66,535","15,251","76,910","27,78,927","1,98,519","1,39,551","45,528",0,0,0,"9,674","3,05,298","9,748","4,16,916","22,45,923","6,19,691","13,582","38,160","26,130",0,"8,979",0,8,"6,151","2,02,971",0,"1,983","96,883","1,983","29,693",0,0,"81,374","81,633",0,"23,887",0,"3,828","1,983",0,0,"23,876",0,0,0,0,"12,364",0,0,0,0,0,0,0,0,0,"2,033",0,0,0,0,0,0,"5,02,04,447",
4.2. Otros instrumentos de capital ..........................................................................................................,"88,42,321","19,27,705","87,527","1,04,089","59,795","59,901","4,46,622","2,986","1,39,406","1,427",48,0,"3,76,165","69,315","90,303",0,61,832,79,0,326,"34,463",0,"8,436","1,035","4,835","1,45,561",0,251,"6,394","7,554",49,325,0,0,"5,449",182,"34,284","7,291",0,448,"7,245",32,14,244,"5,798",0,"1,319",32,"1,36,029",0,0,"3,506",8,1,"1,53,522",201,"45,041",0,7,2,"2,560",0,30,0,0,"3,750",0,0,0,0,"1,28,24,806",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"41,40,290","40,11,770","52,50,733","15,23,255","11,57,125","36,49,673","7,33,000","1,13,458",12,0,708,"18,170","9,687","87,044",0,0,0,0,51,0,317,"1,78,899","53,300",375,31,0,828,0,"8,979",0,516,0,"1,77,163",0,0,0,0,0,0,0,0,"53,485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,11,68,869",
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"24,34,44,915","17,82,63,656","8,18,78,764","6,46,73,775","6,24,56,824","4,18,16,246","2,20,68,088","2,44,92,361","1,75,06,444","1,49,50,419","1,20,81,031","90,41,204","1,48,49,145","83,94,192","87,69,244","78,57,911","51,91,668","80,46,340","47,97,161","37,08,954","41,93,541","33,65,188","57,10,251","55,97,700","36,96,285","21,57,260","58,06,123","24,18,252","63,87,250","35,54,679","24,23,197","20,82,299","12,87,247","7,43,766","24,04,318","14,61,726","9,11,273","6,28,332","8,07,861","8,53,492","4,67,765","4,27,606","4,32,456","3,81,049","18,74,668","4,11,084","10,82,373","3,81,427","11,70,513","4,94,449","13,28,206","31,43,903","2,69,537","32,88,538","4,10,824","47,544","54,48,594","1,33,713","1,27,139","95,927","1,88,905","61,645","33,970","12,40,988","86,128","33,048","1,19,356","20,254","16,742","12,850","9,103","91,40,18,686",
5.1. Depósitos en entidades de crédito ..........................................................................................................,"3,74,78,028","2,26,94,733","1,28,42,532","58,63,671","1,41,86,038","59,10,684","20,92,691","13,76,751","4,37,742","1,07,14,691","10,46,938","12,70,411","31,84,025","6,02,734","11,23,650","78,57,911","51,91,668","57,12,579","89,026","35,03,192","83,908","3,69,776","25,333","53,02,544","62,419","18,49,214","14,43,022","18,968","25,05,293","18,37,580","9,49,991","1,58,257","2,03,050","7,23,605","1,295","84,130","6,98,465","90,873","1,18,471","4,42,565","2,78,505","90,435","4,13,765","3,58,042","22,580","60,992",265,"3,61,422","22,643","1,70,400","6,79,766","31,728","1,01,033","32,88,424","3,458","47,544","13,64,844","1,23,861","1,22,053","93,430","1,28,135","27,278","19,016",886,"44,219","33,048","77,990","20,243","16,742","7,843","9,103","16,81,68,147",
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.3. Crédito a la clientela ......................................................................................................................................................................,"20,16,16,756","14,69,90,158","6,83,38,291","5,83,17,807","4,78,94,302","3,55,22,621","1,98,83,911","2,29,92,762","1,69,01,780","42,34,544","1,09,92,321","77,70,751","1,15,64,836","77,45,538","76,00,503",0,0,"22,64,158","46,90,240","2,04,025","40,91,938","29,83,864","56,79,155","2,46,228","36,22,118","1,17,138","43,44,174","23,99,083","38,69,774","13,74,627","14,35,518","19,16,444","10,84,081","14,016","24,01,549","13,65,051","2,11,958","5,37,035","6,88,580","1,49,014","1,68,837","3,34,205",681,"21,396","18,51,789","3,48,830","10,82,010","19,999","11,42,553","3,21,966","6,43,872","31,06,773","1,66,398",110,"4,02,950",0,"40,77,159","9,767","4,743","2,497",97,"33,511","14,952","12,40,000","33,232",0,28,0,0,"5,006",0,"72,90,90,010",
5.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,0,0,"8,546",0,"41,271",0,0,0,0,"50,449",
5.5. Otros activos financieros ......................................................................................................................................................................,"43,50,131","85,78,765","6,97,941","4,92,297","3,76,484","3,82,941","91,486","1,22,848","1,66,922",592,"41,772",42,"1,00,284","45,920","45,091",0,0,"69,603","17,895","1,737","17,695","11,548","5,763","48,928","11,748","1,90,908","18,927",201,"12,183","3,42,472","37,688","7,598",116,"6,145","1,474","12,545",850,424,810,"2,61,913","20,423","2,966","18,010","1,611",299,"1,262",98,6,"5,317","2,083","4,568","5,402","2,106",4,"4,416",0,"6,591",81,343,0,"60,673",820,2,102,131,0,67,11,0,1,0,"1,67,10,080",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"31,26,105","86,76,884",0,"14,50,763","1,15,24,964",0,"25,39,216","19,10,706","40,60,172","13,50,000","7,86,171",0,"18,33,669",0,"8,78,990",0,0,"19,79,933","4,43,808",0,"2,88,290",0,0,0,"3,56,075","14,92,553","8,87,295",0,"22,389",0,"2,23,701","1,75,928",0,0,0,"89,589",0,0,"17,625","3,59,792","1,24,193",534,"3,34,267","46,782",0,100,0,"26,501",0,"1,55,198",0,0,0,0,"2,39,269",0,"7,68,955","1,15,351",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,62,85,768",
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"55,79,504",0,0,0,424,0,"18,930",0,601,0,0,0,0,0,"59,193",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,"6,943",0,0,0,0,0,0,0,0,"56,66,235",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"12,78,566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,"12,79,206",
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"-6,777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-6,777",
10. DERIVADOS DE COBERTURA ..........................................................................................................,"16,75,563","12,41,153","4,11,703","2,55,990","1,91,986","83,000","3,360","1,11,381","2,156","24,139",181,"1,84,166","16,015","17,904",456,0,0,36,192,"1,683",155,"5,088","6,71,007",22,50,0,0,0,"4,117",0,"21,046",54,0,0,39,0,"16,568",0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,"15,050",0,0,"3,091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,57,390",
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"92,228","32,931","30,112","12,076","39,264","3,153","5,591","2,596","3,322","2,200","12,448",0,134,667,"2,173",0,0,0,"6,397",0,"5,442",626,0,0,"2,883",0,0,208,"2,393",0,0,"1,195",15,0,229,457,0,33,0,0,0,21,0,0,405,15,0,0,94,"1,028",0,0,0,0,22,1,399,0,"4,211",0,0,0,0,692,0,3,0,0,0,0,0,"2,65,664",
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.4. Instrumentos de capital ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,144",0,0,0,0,0,0,0,0,0,0,0,0,"4,144",
11.5. Activo material ...............................................................................................................................................................................,"92,228","32,931","30,112","12,076","39,264","3,153","5,591","2,596","3,322","2,200","12,448",0,134,667,"2,173",0,0,0,"6,397",0,"5,442",626,0,0,"2,883",0,0,208,"2,393",0,0,"1,195",15,0,229,457,0,33,0,0,0,21,0,0,405,15,0,0,94,"1,028",0,0,0,0,22,1,399,0,67,0,0,0,0,692,0,3,0,0,0,0,0,"2,61,520",
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12. PARTICIPACIONES ..................................................................................................................................................................,"1,49,72,950","3,94,51,612","9,33,076","10,74,671","13,07,886","1,36,696","1,08,982","40,818","1,66,241","32,21,278",361,0,"41,400","1,73,209","1,49,595",0,7,"1,15,718",270,3,177,"25,185",0,"19,216",180,"1,055","57,275","3,44,397",103,"1,51,102",0,90,"7,385",0,0,"7,790","4,127","1,119","47,566","1,07,432","28,394","14,537",0,1,30,6,0,0,0,"9,980","9,704",676,"23,290","1,76,513",0,"1,45,119","1,02,807","1,112",0,0,0,"5,436",0,9,0,0,0,0,10,0,0,"6,31,86,596",
12.1. Entidades asociadas ......................................................................................................................................................................,"5,34,427","32,04,165","11,777","1,50,314","3,211","3,085","1,134",0,"66,253","5,395",0,0,0,0,"1,959",0,7,0,0,3,0,"3,024",0,"7,767",0,0,243,"3,22,370",0,0,0,0,95,0,0,0,0,0,0,0,"24,000","2,292",0,0,0,0,0,0,0,"1,348",0,0,0,0,0,325,137,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"43,43,341",
12.2. Entidades multigrupo ......................................................................................................................................................................,"4,068","3,99,961","79,053","18,305","8,225","36,396","2,398",0,"33,987","6,912",361,0,"2,410",0,0,0,0,0,270,0,177,0,0,0,180,0,"13,508","14,860",0,0,0,90,0,0,0,0,0,0,"45,250",0,0,0,0,0,0,0,0,0,0,"7,621",0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,"6,74,233",
12.3. Entidades del grupo ......................................................................................................................................................................,"1,44,34,455","3,58,47,486","8,42,246","9,06,052","12,96,450","97,215","1,05,450","40,818","66,001","32,08,971",0,0,"38,990","1,73,209","1,47,636",0,0,"1,15,718",0,0,0,"22,161",0,"11,449",0,"1,055","43,524","7,167",103,"1,51,102",0,0,"7,290",0,0,"7,790","4,127","1,119","2,316","1,07,432","4,394","12,245",0,1,30,6,0,0,0,"1,011","9,704",676,"23,290","1,76,513",0,"1,44,794","1,02,670","1,112",0,0,0,"5,235",0,9,0,0,0,0,0,0,0,"5,81,69,022",
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"21,23,079","30,01,908","15,10,835","2,81,880","90,950",0,"40,456","86,868","9,435","28,929","8,322","6,343",0,"1,702",0,0,0,550,"7,142",0,"6,652",0,10,0,"5,184",0,"1,972",0,"29,784",0,0,"8,754",0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,"72,51,442",
15. ACTIVO MATERIAL ..................................................................................................................................................................,"18,42,968","14,87,920","9,79,999","6,65,811","3,49,071","3,38,005","3,05,629","1,83,331","2,09,926",95,"58,673","25,275","48,009","1,13,881","89,389",0,0,517,"26,951",32,"23,709","32,187",198,"1,385","19,030","10,526","30,016","3,586","25,064","11,808","33,434","18,054",584,3,151,"24,800","3,726","14,803","6,282","8,715","7,081","8,724",301,"4,320","3,538","9,930",801,11,"4,044",367,"4,658","4,605",992,24,"3,054",98,"3,931","1,323","29,047",6,"3,476","1,114",3,574,"2,564",2,399,3,0,0,0,"70,88,533",
15.1. De uso propio ..................................................................................................................................................................,"18,32,128","14,85,003","9,61,014","6,65,100","3,42,846","3,20,529","2,97,500","1,82,110","2,00,629",95,"57,288","10,741","42,109","1,13,847","89,389",0,0,517,"26,675",32,"23,155","32,187",198,"1,385","18,856","10,526","30,016","3,586","25,064","11,808","33,434","16,233",584,3,151,"23,989","3,726","12,702","6,282","8,715","7,081","8,637",301,"2,946","3,538","8,857",801,11,"4,044",367,"4,658","4,605",992,24,"3,054",98,"3,931","1,323","10,729",6,"3,476","1,114",3,574,"2,564",2,399,3,0,0,0,"69,64,290",
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"10,840","2,917","18,985",711,"6,225",0,"8,129","1,221","9,297",0,"1,385","14,534","5,900",0,0,0,0,0,276,0,554,0,0,0,174,0,0,0,0,0,0,"1,821",0,0,0,811,0,"2,024",0,0,0,87,0,"1,374",0,"1,073",0,0,0,0,0,0,0,0,0,0,0,0,"18,318",0,0,0,0,0,0,0,0,0,0,0,0,"1,06,656",
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,"17,476",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,587",
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,32,"4,68,903","12,811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,81,746",
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"74,142",425,"35,789","4,46,641","15,635","6,985","10,313","7,129",771,"18,546",106,0,0,"1,452",0,0,0,0,70,0,35,"9,076",7,858,35,365,"6,931",599,"7,980","21,255","1,00,916",35,0,152,0,90,10,0,"7,854","47,652",189,607,286,"1,439",769,0,35,11,110,0,652,"11,101","10,559",0,44,0,"4,127",0,0,1,"2,742",976,0,0,0,0,0,0,0,0,0,"8,55,502",
16.1. Fondo de comercio ......................................................................................................................................................................,0,236,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,384",0,0,0,0,0,0,0,0,"44,244",0,0,0,0,0,0,0,0,0,0,0,"10,981","10,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,39,315",
16.2. Otro activo intangible ......................................................................................................................................................................,"74,142",189,"35,789","33,188","15,635","6,985","10,313","7,129",771,"18,546",106,0,0,"1,452",0,0,0,0,70,0,35,"9,076",7,858,35,365,"6,931",599,"7,980","21,255","40,532",35,0,152,0,90,10,0,"7,854","3,408",189,607,286,"1,439",769,0,35,11,110,0,652,120,542,0,44,0,"4,127",0,0,1,"2,742",976,0,0,0,0,0,0,0,0,0,"3,16,187",
