Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"24,596","36,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,04,812"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"15,252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,252"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"24,596","21,122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,560"
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,75,35,502","1,01,49,175","70,53,906","23,28,794","31,73,455","51,12,013","11,10,762","16,63,822","2,53,800",0,"48,676","26,19,323","5,86,126","91,967",61,"1,67,023","30,966","5,28,058",0,"14,398","20,69,733","2,19,797","14,797","4,42,059","9,344","91,476","36,304","21,365",0,"4,37,965","5,478","2,74,803","8,856",0,32,"96,258","3,629","58,469","2,079","58,483","23,216","8,532","1,293",32,"7,265",244,"1,05,563","2,079","2,093","3,896",0,8,"2,512","5,764",0,"88,768","22,180",152,"50,568",7,"2,560",0,30,2,"3,014",0,0,0,0,0,0,0,"5,66,48,532"
4.1. Valores representativos de deuda ..........................................................................................................,"85,46,689","94,55,122","69,27,970","22,65,520","30,37,696","50,41,823","7,04,038","16,61,371","74,316",0,"48,213","26,19,323","2,10,539","91,852",0,"1,05,528",0,"4,29,999",0,"14,251","20,69,733","95,274","14,403","4,11,759","9,109","84,894","32,638","20,264",0,"4,36,511",0,"2,74,484","8,742",0,0,"95,285",17,"21,923","2,079","50,583","23,028",0,1,0,"1,808",0,"22,295","2,079","2,083",0,0,0,0,"5,764",0,0,"21,299",0,0,0,0,0,0,0,"3,014",0,0,0,0,0,0,0,"4,49,43,319"
4.2. Otros instrumentos de capital ..........................................................................................................,"89,88,813","6,94,053","1,25,936","63,274","1,35,759","70,190","4,06,724","2,451","1,79,484",0,463,0,"3,75,587",115,61,"61,495","30,966","98,059",0,147,0,"1,24,523",394,"30,300",235,"6,582","3,666","1,101",0,"1,454","5,478",319,114,0,32,973,"3,612","36,546",0,"7,900",188,"8,532","1,292",32,"5,457",244,"83,268",0,10,"3,896",0,8,"2,512",0,0,"88,768",881,152,"50,568",7,"2,560",0,30,2,0,0,0,0,0,0,0,0,"1,17,05,213"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"48,39,258","15,98,051","25,10,002","34,467","16,73,137","50,27,454","6,00,000","3,12,802","20,373",0,0,"19,343","9,628",1,0,"96,728",0,"3,32,676",0,58,"44,233",427,257,"1,76,682","9,109","61,823",0,33,0,0,0,"1,43,645",0,0,0,0,167,0,0,"31,722",0,0,0,0,0,0,"3,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,75,45,108"
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"21,30,27,835","18,80,49,688","8,50,36,521","5,94,69,111","6,32,20,374","3,72,67,704","2,06,91,507","2,20,84,331","1,48,40,723","70,33,932","1,52,76,902","84,65,091","1,33,92,893","1,05,16,711","68,70,902","74,87,986","75,01,385","77,89,279","39,00,871","46,45,337","54,60,563","46,72,265","39,08,827","28,91,267","39,99,647","62,64,904","28,53,373","35,07,674","20,45,667","31,91,284","32,55,405","10,65,050","18,26,659","12,17,119","5,23,388","14,16,540","21,61,878","5,94,143","22,48,192","4,03,938","6,06,447","8,10,224","3,81,957","10,25,947","3,54,302","17,38,068","4,72,145","10,59,118","8,42,963","5,40,109","27,54,372","29,27,337","2,82,678","3,35,623","10,68,642","37,692","3,35,811","34,41,749","1,21,427","43,692","49,540","37,324","10,83,260","1,24,604","77,912","32,547","23,666","20,028","16,521","1,00,196","12,558","9,106","87,08,44,431"
5.1. Depósitos en entidades de crédito ..........................................................................................................,"2,45,64,764","3,83,96,081","2,38,13,106","1,62,76,215","76,08,389","53,86,892","10,19,947","19,64,893","6,12,848","70,33,932","1,14,88,107","41,202","29,53,019","3,65,212","68,70,902","7,77,735","55,20,200","12,10,422","34,08,787","1,97,307","1,25,755","13,21,572","1,60,094","2,73,121","9,13,867","59,69,210","22,29,587","90,377","21,476","11,00,415","19,73,124","1,67,668","1,27,734","11,95,699","4,80,544","1,41,948","7,72,335","97,262","19,895","1,22,178","3,83,175","2,07,549","3,62,475","3,017","41,649","22,814","2,08,471",403,"6,45,461","3,17,385","26,018","29,27,233","1,37,068","3,024","4,02,067","36,173","2,94,084","2,45,954","1,09,302","43,684","16,031","22,843","1,589","96,070","49,147","32,547","1,704","20,024","16,521","94,415","7,551","9,106","18,35,98,375"
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,"1,00,051","2,00,055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,00,106"
5.3. Crédito a la clientela ......................................................................................................................................................................,"18,38,52,896","14,11,39,269","6,05,68,677","4,28,61,961","5,26,06,081","3,16,94,029","1,95,34,878","2,00,05,095","1,39,39,769",0,"37,34,643","84,23,357","1,02,18,191","1,01,23,532",0,"66,82,165","19,80,891","64,72,465","1,96,821","44,33,871","53,29,388","33,49,665","37,34,452","25,96,377","30,76,341","2,52,292","1,63,611","34,07,069","20,23,988","20,69,277","11,75,399","8,97,308","16,95,569","18,807","2,713","12,49,703","13,73,129","4,96,177","22,26,639","2,79,867","1,86,569","6,02,168","19,481","10,11,392","3,11,452","17,15,034","2,61,289","10,58,647","1,86,477","1,27,021","27,19,736",100,"1,45,178","3,30,554","6,61,608",0,"29,726","31,95,392","10,886",0,"31,690","14,479","10,81,451",100,"19,371",0,41,2,0,"5,267","5,006",0,"66,76,16,479"
5.4. Valores representativos de deuda ..........................................................................................................,781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,85,678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,36,0,0,0,"9,367",0,"21,921",0,0,0,0,0,"3,17,888"
5.5. Otros activos financieros ......................................................................................................................................................................,"45,09,343","83,14,283","6,54,738","3,30,935","30,05,903","1,86,783","1,36,682","1,14,343","2,88,106",0,"54,152",532,"2,21,683","27,967",0,"28,086",294,"1,06,392","9,585","14,159","5,420","1,028","14,281","21,769","9,439","43,402","4,60,175","10,228",203,"21,592","1,06,882",74,"3,356","2,613","40,131","24,889","16,414",704,"1,658","1,893","36,703",507,1,"11,538","1,201",220,"2,385",68,"11,025","95,703","8,618",4,432,"2,045","4,967","1,519","12,001",403,"1,135",8,"1,783",2,220,"28,434",27,0,0,2,0,514,1,0,"1,90,11,583"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"27,67,314","1,17,69,909",0,"1,11,67,100","20,58,455",0,"25,22,515","19,33,915","34,92,051",0,"12,00,000",0,"17,43,544","6,39,767",0,0,"17,12,766","9,96,629",0,"3,74,489",0,"10,43,865","2,49,492",0,"16,814",0,"19,82,693","2,42,710",0,"19,56,149",0,0,"1,20,262",0,"3,90,251","1,42,486","3,56,268",0,0,"24,021","1,60,046","17,513","26,447",0,600,0,"1,76,147",0,0,"2,59,652",0,0,0,"1,83,326",0,0,"88,387",0,"96,773",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,99,12,356"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"59,05,636",0,"68,83,238",442,0,0,"19,291",0,603,0,0,0,0,0,0,0,0,"75,730",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,967",0,0,0,0,0,0,0,609,0,0,"1,28,92,539"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"12,50,764",0,"63,29,416",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,"75,80,852"
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"-10,217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10,217"
10. DERIVADOS DE COBERTURA ..........................................................................................................,"17,58,932","11,14,747","4,71,790","1,39,573","2,93,445","90,065","11,141","8,182","8,654",0,"69,418","1,64,407","13,916","23,709",0,"32,533",46,"3,659","7,359","9,217","86,765",0,"7,586","10,857","3,464",0,0,"4,752",0,0,0,0,"6,205",0,0,0,"23,982",4,"7,914",0,0,0,0,16,0,0,0,414,"13,320",0,0,"8,533",0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,95,163"
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"26,393","33,482","19,216","34,140","11,690","3,965","2,807","2,448","2,526",0,"1,936",0,0,"13,894",0,788,0,"1,618",0,"5,671",0,0,"4,744","1,138",420,0,"2,172","2,905",685,0,0,3,934,0,0,460,0,33,233,21,414,0,0,79,15,203,957,0,0,0,0,0,0,28,0,1,0,430,0,0,0,0,316,0,0,3,0,0,0,"4,381",0,0,"1,81,149"
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4. Instrumentos de capital ......................................................................................................................................................................,0,0,0,0,"2,604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,314",0,0,"9,090"
11.5. Activo material ...............................................................................................................................................................................,"26,393","33,482","19,216","34,140","9,086","3,965","2,807","2,448","2,526",0,"1,936",0,0,"13,894",0,788,0,"1,618",0,"5,671",0,0,"4,744","1,138",420,0,0,"2,905",685,0,0,3,934,0,0,460,0,33,233,21,414,0,0,79,15,203,957,0,0,0,0,0,0,28,0,1,0,430,0,0,0,0,316,0,0,3,0,0,0,67,0,0,"1,72,059"
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12. PARTICIPACIONES ..................................................................................................................................................................,"1,41,59,672","3,93,39,174","9,34,994","13,01,066","9,50,867","1,35,328","1,11,745","40,818","1,28,485",0,"30,86,440","1,933","41,269",361,7,"1,68,412","1,15,718","1,42,446",0,270,0,"13,929",177,"25,185",95,"19,216",997,180,"3,44,398","6,300","1,51,102","7,385",90,0,0,"7,774",0,"1,119",0,"14,537","29,403","47,316",0,0,6,30,"10,055",0,"3,126","1,07,399",676,"1,75,122","23,290",0,"9,704","1,45,119",0,"94,622","1,112","28,168","4,386",0,9,0,0,0,0,0,10,0,0,0,"6,19,31,042"
12.1. Entidades asociadas ......................................................................................................................................................................,"43,646","32,64,845","9,105","3,211","1,32,965",653,"1,017",0,"41,761",0,"5,395",336,0,0,7,0,0,"1,959",0,0,0,240,0,"3,024",0,"7,767",0,0,"3,22,370",0,0,95,0,0,0,0,0,0,0,"2,292","25,000",0,0,0,0,0,"1,423",0,0,0,0,0,0,0,0,325,0,107,0,"1,762",0,0,0,0,0,0,0,0,10,0,0,0,"38,69,315"
12.2. Entidades multigrupo ......................................................................................................................................................................,"3,330","3,99,961","82,327","8,225","25,343","36,225","9,498",0,"33,612",0,"6,912",0,"2,411",361,0,0,0,0,0,270,0,"13,508",177,0,0,0,95,180,"14,860",0,0,0,90,0,0,0,0,0,0,0,0,"45,000",0,0,0,0,"7,621",0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,"6,90,207"
12.3. Entidades del grupo ......................................................................................................................................................................,"1,41,12,696","3,56,74,368","8,43,562","12,89,630","7,92,559","98,450","1,01,230","40,818","53,112",0,"30,74,133","1,597","38,858",0,0,"1,68,412","1,15,718","1,40,487",0,0,0,181,0,"22,161",95,"11,449",902,0,"7,168","6,300","1,51,102","7,290",0,0,0,"7,774",0,"1,119",0,"12,245","4,403","2,316",0,0,6,30,"1,011",0,"3,126","1,07,399",676,"1,75,122","23,290",0,"9,704","1,44,794",0,"94,515","1,112","26,406","4,185",0,9,0,0,0,0,0,0,0,0,0,"5,73,71,520"
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"21,14,052","30,49,487","15,04,032","1,04,308","3,04,644",0,"42,957","89,250","9,435",0,"30,108","6,343",0,"9,605",0,"1,669",568,0,0,"8,085",10,"1,929","7,409",0,"29,784",0,0,"5,914",0,"5,819",0,0,"9,814",0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,35,849"
15. ACTIVO MATERIAL ..................................................................................................................................................................,"20,93,446","15,03,788","8,45,763","3,47,052","7,10,728","3,28,645","2,90,802","1,77,096","2,05,649",0,"1,160","25,687","49,859","59,961",0,"1,11,558",672,"89,068",41,"27,550",216,"25,846","24,864","29,489","26,799","1,332","10,613","19,683","2,827","9,586","10,517",651,"18,745",5,349,"25,396","34,505","14,993",173,"9,308","6,965","5,726",10,"4,150","9,519","3,273",370,856,"3,750","7,438","3,661",10,"1,283","2,881","4,203",100,"4,188","4,229","1,331",12,"1,024",4,311,"2,384","2,602",2,0,3,0,"29,140",0,0,"72,33,847"
15.1. De uso propio ..................................................................................................................................................................,"20,82,540","15,00,679","8,27,486","3,42,444","7,09,886","3,10,283","2,82,607","1,75,851","1,96,298",0,"1,160","10,997","43,917","59,008",0,"1,11,523",672,"89,068",41,"27,245",216,"25,846","24,308","29,489","26,799","1,332","10,613","19,505","2,827","9,586","10,517",651,"16,825",5,349,"24,572","34,505","12,851",173,"9,221","6,965","5,726",10,"4,150","8,443","3,273",370,856,"3,750","7,438","3,661",10,"1,283","2,881","4,203",100,"2,803","4,229","1,331",12,"1,024",4,311,"2,384","2,602",2,0,3,0,"10,779",0,0,"71,10,498"
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"10,906","3,109","18,277","4,608",842,0,"8,195","1,245","9,351",0,0,"14,690","5,942",953,0,0,0,0,0,305,0,0,556,0,0,0,0,178,0,0,0,0,"1,920",0,0,824,0,"2,064",0,87,0,0,0,0,"1,076",0,0,0,0,0,0,0,0,0,0,0,"1,385",0,0,0,0,0,0,0,0,0,0,0,0,"18,361",0,0,"1,04,874"
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,"18,362",0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,475"
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,19,"4,56,811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,56,830"
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"63,055",438,"31,486","14,354","4,50,072","3,167","8,708","7,012",937,0,"15,830",0,0,150,0,801,0,0,0,100,17,"6,729",50,"7,873","5,891",607,289,50,483,"5,617","20,516",0,50,0,"5,236",186,"1,03,094",0,0,512,126,"8,235",0,126,1,584,0,50,14,"48,111","11,064",0,"10,333",59,352,0,"1,172","4,065",0,0,"1,085",0,0,"1,820",0,0,0,0,0,0,0,0,"8,40,507"
16.1. Fondo de comercio ......................................................................................................................................................................,0,0,0,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,719",0,"60,384",0,0,0,0,0,0,0,0,0,0,0,0,"44,244","10,981",0,"10,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,43,798"
