Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"25,071","36,272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"46,998",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08,373"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"15,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,150"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"25,071","21,122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"46,998",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,223"
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,73,46,427","92,28,519","49,87,797","32,80,207","29,57,322","57,69,506","11,06,295","17,38,646","2,54,414","48,822","88,797","26,23,822","5,82,914","1,74,016","5,19,818",0,61,"33,483","13,428",0,"13,410","4,42,510","20,47,073","90,741","19,428","59,238","1,53,548",0,"9,237","5,478",336990,"5,382","8,181","2,75,044",0,"2,072","1,04,030","2,435","63,956","7,263","1,357","48,223","59,843",32,"15,982",244,"7,337","2,072","1,292",32,"1,32,063",0,0,"2,519",8,"5,299","1,01,001",152,"52,037",0,7,2,"2,560",0,30,"3,022",0,0,0,0,0,0,"5,48,35,424"
4.1. Valores representativos de deuda ..........................................................................................................,"83,93,438","79,06,671","48,60,228","31,49,792","28,93,545","56,92,667","6,94,212","17,36,195","74,894","48,288","88,676","26,23,822","2,07,278","1,10,866","4,24,022",0,0,0,"13,276",0,"13,010","4,05,273","20,47,073","84,210","18,322","55,263","32,872",0,"9,002",0,335518,16,"8,061","2,74,723",0,"2,072","93,006","2,057","29,569",0,0,"23,079","52,110",0,"15,411",0,"1,813","2,072",0,0,"22,201",0,0,0,0,"5,299",0,0,0,0,0,0,0,0,0,"3,022",0,0,0,0,0,0,"4,24,52,924"
4.2. Otros instrumentos de capital ..........................................................................................................,"89,52,989","13,21,848","1,27,569","1,30,415","63,777","76,839","4,12,083","2,451","1,79,520",534,121,0,"3,75,636","63,150","95,796",0,61,"33,483",152,0,400,"37,237",0,"6,531","1,106","3,975","1,20,676",0,235,"5,478",1472,"5,366",120,321,0,0,"11,024",378,"34,387","7,263","1,357","25,144","7,733",32,571,244,"5,524",0,"1,292",32,"1,09,862",0,0,"2,519",8,0,"1,01,001",152,"52,037",0,7,2,"2,560",0,30,0,0,0,0,0,0,0,"1,23,82,500"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"47,73,098","21,82,979","23,49,182","11,82,115","33,558","50,04,209","6,00,000",0,"22,815",0,1,"18,556",0,"96,728","3,06,998",0,0,0,83,0,257,"1,76,713","55,276","62,198",28,0,487,0,"9,002",0,0,42,0,"1,37,838",0,0,0,0,0,0,0,0,"32,490",0,0,0,0,0,0,0,"3,041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,70,47,694"
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"21,71,81,015","18,77,94,512","7,85,75,077","6,17,00,253","5,78,49,551","3,82,32,160","2,26,22,439","2,20,79,479","1,50,26,591","1,44,85,261","1,04,91,051","84,60,291","1,42,40,998","73,39,029","76,83,188","50,48,906","64,10,635","77,81,804","47,43,701","39,25,454","38,83,010","28,67,219","54,87,430","62,46,100","35,33,150","29,94,837","48,14,805","20,93,830","38,21,371","32,39,827",2897523,"22,81,840","17,83,593","11,13,879","8,58,214","24,16,537","13,75,042","6,65,418","5,87,117","7,89,447","6,77,451","5,63,983","3,91,497","5,76,461","3,69,650","17,49,982","3,87,539","10,62,447","3,73,867","10,71,047","4,21,702","11,06,180","5,356","2,97,385","29,53,231","3,48,854","37,802","36,00,279","1,28,325","1,01,315","43,694","3,86,567","49,144","37,503","10,97,937","61,702","32,645","23,520","20,070","16,560","12,591","9,108","86,34,36,978"
5.1. Depósitos en entidades de crédito ..........................................................................................................,"2,84,01,943","3,34,32,141","1,73,88,903","75,23,052","1,38,46,991","58,48,244","25,85,690","15,32,411","4,19,484","1,06,55,040","2,52,236","1,48,737","37,92,729","5,44,928","10,84,407","50,48,906","64,10,635","55,27,638","3,48,777","34,31,686","1,11,516","2,05,370","85,987","59,51,557","67,692","22,10,187","14,22,450","34,369","6,48,699","19,53,055",679050,"10,00,411","61,712","2,01,110","8,34,027","12,577","1,07,581","4,71,505","92,439","1,59,473","4,07,128","3,48,621","95,188","5,49,956","3,45,403","16,009","73,449",97,"3,54,367","30,603","1,61,426","4,37,342",0,"1,48,054","29,53,128","5,878","37,802","2,46,735","1,18,877","94,776","43,686","3,55,018","16,175","22,809",150,"32,333","32,645","1,561","20,067","16,560","7,568","9,108","17,15,17,864"
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,"2,50,024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,50,024"
5.3. Crédito a la clientela ......................................................................................................................................................................,"18,63,37,681","14,65,59,144","6,06,95,452","5,30,37,120","4,36,27,348","3,19,87,691","1,99,31,442","2,04,21,668","1,44,27,123","37,78,540","1,01,89,743","83,11,466","1,03,33,525","67,57,017","65,32,296",0,0,"22,52,152","43,76,661","2,03,238","37,53,587","26,43,201","53,95,414","2,61,052","34,50,501","1,65,928","33,71,202","20,59,258","31,63,512","11,72,642",2200740,"12,73,190","17,16,561","9,12,646","23,498","24,02,394","12,55,363","1,93,056","4,94,007","6,29,491","1,20,637","1,90,332","2,81,738",336,"22,285","17,33,739","3,12,835","10,62,272","19,499","10,36,591","2,53,460","6,62,526",0,"1,48,888",99,"3,40,923",0,"33,53,131","9,247","5,743",0,99,"30,735","14,692","10,97,567","20,622",0,34,1,0,"5,022",0,"67,70,19,603"
5.4. Valores representativos de deuda ..........................................................................................................,781,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,"2,83,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,36,0,0,"8,710",0,"21,925",0,0,0,0,"3,15,202"
5.5. Otros activos financieros ......................................................................................................................................................................,"24,40,610","75,53,203","4,90,722","11,40,081","3,75,212","3,96,225","1,05,307","1,25,400","1,79,984","51,669","49,072",88,"1,14,744","37,084","66,485",0,0,"2,014","18,263","6,897","17,907","18,648","6,029","33,491","14,957","6,18,722","21,153",203,"9,160","1,14,130",17733,"8,239","5,320",123,689,"1,566","12,098",857,671,483,"1,49,686","25,030","14,571","26,169","1,962",234,"1,255",78,1,"3,853","6,816","6,312","5,356",443,4,"2,053",0,413,96,796,8,"31,450","2,198",2,220,37,0,0,2,0,1,0,"1,43,34,285"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"29,53,839","1,06,98,069",0,"21,94,790","1,06,48,138",0,"25,37,377","21,20,870","33,84,643","12,00,000","6,17,004",0,"19,42,797",0,"8,09,475",0,0,"20,34,893","3,63,024",0,"2,47,705",0,0,0,"2,28,915","19,47,481","10,74,447",0,"20,770",0,2063385,"3,60,886","1,15,548",0,0,0,"1,25,129",0,0,"17,356","2,14,834","1,46,234","1,416","3,41,378","72,910",0,"1,000",0,"26,447",0,"1,51,617",0,0,0,0,"1,99,959",0,0,"1,03,450",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,89,65,786"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"57,26,974",0,"68,81,207",0,418,0,"19,263",0,603,0,0,0,0,0,"76,272",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,0,0,"6,986",0,0,0,0,0,0,0,0,"1,27,12,354"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"15,82,411",0,"62,68,598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,"78,51,640"
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"-8,429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-8,429"
10. DERIVADOS DE COBERTURA ..........................................................................................................,"15,42,713","11,67,153","3,31,329","2,65,092","1,55,022","87,538","9,522","59,428","5,920","76,882","15,658","1,52,951","14,631","28,867","3,177",0,0,46,"6,296","6,337","5,120","11,238","5,57,148",0,"3,035",0,0,0,"2,480",0,2500,"26,297","4,440",0,0,"5,090",0,"15,311",132,0,0,0,0,0,0,0,0,38,0,23,0,0,0,0,"10,419",0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,72,453"
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"29,729","33,859","20,495","13,451","35,641","4,043","2,962","2,463","2,491","1,831","13,850",0,0,788,"1,866",0,0,0,"5,712",0,"4,970","1,133",0,0,"2,974","2,172",0,724,420,0,0,0,998,3,0,233,460,0,33,0,0,414,21,0,0,203,15,0,0,94,957,0,0,0,0,28,1,476,0,"4,452",0,0,0,0,316,0,3,0,0,0,0,0,"1,90,281"
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4. Instrumentos de capital ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,385",0,0,0,0,0,0,0,0,0,0,0,0,"6,557"
11.5. Activo material ...............................................................................................................................................................................,"29,729","33,859","20,495","13,451","35,641","4,043","2,962","2,463","2,491","1,831","13,850",0,0,788,"1,866",0,0,0,"5,712",0,"4,970","1,133",0,0,"2,974",0,0,724,420,0,0,0,998,3,0,233,460,0,33,0,0,414,21,0,0,203,15,0,0,94,957,0,0,0,0,28,1,476,0,67,0,0,0,0,316,0,3,0,0,0,0,0,"1,83,724"
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12. PARTICIPACIONES ..................................................................................................................................................................,"1,45,68,687","3,94,32,321","9,35,030","9,60,772","12,99,066","1,35,328","1,11,096","40,818","1,28,974","30,86,902",361,"1,622","41,269","1,68,412","1,42,446",0,7,"1,15,718",270,0,177,"25,185",0,"19,216",180,997,"13,929","3,44,397",103,"1,51,102",6300,0,90,"7,385",0,0,"7,778","4,126","1,119","47,316","1,07,411","4,403","14,537",0,0,30,6,0,0,0,"10,055","9,704",676,"23,290","1,74,840",0,"1,45,119","94,625","1,112",0,"28,168",0,"4,386",0,9,0,0,0,0,10,0,0,"6,24,16,880"
12.1. Entidades asociadas ......................................................................................................................................................................,"43,646","32,90,945","9,105","1,25,102","3,211",653,"1,017",0,"42,250","5,395",0,182,0,0,"1,959",0,7,0,0,0,0,"3,024",0,"7,767",0,0,240,"3,22,370",0,0,0,0,0,95,0,0,0,0,0,0,40,0,"2,292",0,0,0,0,0,0,0,"1,423",0,0,0,0,0,325,107,0,0,"1,762",0,0,0,0,0,0,0,0,10,0,0,"38,62,927"
12.2. Entidades multigrupo ......................................................................................................................................................................,"3,330","3,99,961","82,327","33,210","8,225","36,225","9,498",0,"33,612","6,912",361,0,"2,411",0,0,0,0,0,270,0,177,0,0,0,180,95,"13,508","14,860",0,0,0,0,90,0,0,0,0,0,0,"45,000",0,0,0,0,0,0,0,0,0,0,"7,621",0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,"6,98,074"
12.3. Entidades del grupo ......................................................................................................................................................................,"1,45,21,711","3,57,41,415","8,43,598","8,02,460","12,87,630","98,450","1,00,581","40,818","53,112","30,74,595",0,"1,440","38,858","1,68,412","1,40,487",0,0,"1,15,718",0,0,0,"22,161",0,"11,449",0,902,181,"7,167",103,"1,51,102",6300,0,0,"7,290",0,0,"7,778","4,126","1,119","2,316","1,07,371","4,403","12,245",0,0,30,6,0,0,0,"1,011","9,704",676,"23,290","1,74,840",0,"1,44,794","94,518","1,112",0,"26,406",0,"4,185",0,9,0,0,0,0,0,0,0,"5,78,55,879"
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"21,14,052","30,59,847","15,03,207","2,88,233","1,02,705",0,"42,565","89,392","9,435","29,939","9,449","6,343",0,"1,673",0,0,0,565,"7,967",0,"7,318",0,10,0,"5,823",0,"1,929",0,"29,784",0,5819,0,"9,688",0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,26,370"
15. ACTIVO MATERIAL ..................................................................................................................................................................,"20,94,084","14,93,741","8,70,969","7,02,297","3,52,776","3,28,068","2,91,463","1,78,137","2,04,746","1,133","59,488","25,626","49,896","1,11,586","88,874",0,0,642,"27,351",39,"24,643","29,683",213,"1,316","19,581","10,547","26,884","3,098","26,245","10,364",9469,"34,395","18,586",638,4,170,"25,291","3,880","14,922","5,809","7,911","7,074","9,194",342,"4,165","3,228","9,665",844,12,"4,160",374,"4,421","3,589","1,242",10,"2,872",100,"4,166","1,330","29,125",12,"2,382","1,011",4,305,"2,596",2,0,4,0,0,0,"72,46,794"
15.1. De uso propio ..................................................................................................................................................................,"20,83,186","14,90,637","8,52,620","7,01,573","3,48,299","3,09,778","2,83,278","1,76,897","1,95,403","1,133","58,547","10,958","43,960","1,11,551","88,874",0,0,642,"27,070",39,"24,088","29,683",213,"1,316","19,404","10,547","26,884","3,098","26,245","10,364",9469,"34,395","16,732",638,4,170,"24,469","3,880","12,786","5,809","7,911","7,074","9,107",342,"2,782","3,228","8,589",844,12,"4,160",374,"4,421","3,589","1,242",10,"2,872",100,"4,166","1,330","10,770",12,"2,382","1,011",4,305,"2,596",2,0,4,0,0,0,"71,23,878"
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"10,898","3,104","18,349",724,"4,477",0,"8,185","1,240","9,343",0,941,"14,668","5,936",0,0,0,0,0,281,0,555,0,0,0,177,0,0,0,0,0,0,0,"1,854",0,0,0,822,0,"2,058",0,0,0,87,0,"1,383",0,"1,076",0,0,0,0,0,0,0,0,0,0,0,0,"18,355",0,0,0,0,0,0,0,0,0,0,0,0,"1,04,513"
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,"18,290",0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,403"
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,37,"4,49,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,49,537"
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"66,110",442,"29,976","4,49,674","15,066","3,487","8,996","7,735",906,"15,417",144,0,0,935,0,0,0,0,95,0,47,"8,154",6,599,47,247,"6,677",461,"6,112","21,191",6459,"1,02,785",48,0,0,0,168,13,0,"8,605","3,692",143,538,"5,201","1,188",565,1,48,0,119,0,440,"11,058","10,319",0,56,0,"4,309",0,0,0,"1,935","1,070",0,0,0,0,0,0,0,0,0,"8,01,284"
16.1. Fondo de comercio ......................................................................................................................................................................,0,0,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,384",0,0,0,0,0,0,0,0,0,0,0,"4,719",0,0,0,0,0,0,0,0,"10,981","10,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,99,554"
