Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"21,797","52,936",0,0,0,0,"2,06,754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,81,487"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"30,588",0,0,0,0,"2,06,754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,37,342"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"21,797","22,348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,145"
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"2,92,65,905","3,81,26,219","61,25,903","22,92,541","18,45,155","51,40,339","3,87,390",0,"16,92,774","28,82,875","1,87,374","14,687","1,23,496",61,"10,464",0,"5,87,735","4,84,035",0,"24,647","64,780","23,713","97,426","48,456","3,70,908","1,28,917","33,339","47,148","16,52,460",0,42,"4,446","33,930","14,295","4,30,921",0,"7,118","7,672","97,894","35,480","2,185","59,599","1,216","12,114","12,399",0,103,"2,184","2,249",8,"1,955","75,052","1,845",0,0,"24,173","38,575","2,397",168,"5,243",79,"67,438","5,565","1,256",0,30,0,0,0,2,0,0,0,0,"9,26,06,380"
4.1. Valores representativos de deuda ..........................................................................................................,"2,19,61,914","3,67,85,426","59,88,903","22,04,142","17,99,236","50,94,800","3,32,711",0,"16,88,058","28,82,875","68,796","12,280","1,23,317",0,0,0,"5,22,249","4,73,384",0,"24,365","42,802","23,112","93,167","48,232","2,81,313","1,26,778","32,267","44,094","16,52,460",0,0,"1,097","32,518","14,100","4,28,615",0,11,0,"93,181","32,521","2,185","25,683",1,0,"7,408",0,0,"2,184","2,249",0,0,"27,320",0,0,0,0,0,"2,397",0,"4,716",0,"67,438","1,080",0,0,0,0,0,0,0,0,0,0,0,"8,30,51,385"
4.2. Otros instrumentos de capital ..........................................................................................................,"73,03,991","13,40,793","1,37,000","88,399","45,919","45,539","54,679",0,"4,716",0,"1,18,578","2,407",179,61,"10,464",0,"65,486","10,651",0,282,"21,979",601,"4,259",224,"89,595","2,139","1,072","3,054",0,0,42,"3,349","1,412",195,"2,306",0,"7,107","7,672","4,713","2,959",0,"33,916","1,215","12,114","4,991",0,103,0,0,8,"1,955","47,732","1,845",0,0,"24,173","38,575",0,168,527,79,0,"4,485","1,256",0,30,0,0,0,2,0,0,0,0,"95,54,996"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"2,04,33,751","2,20,40,691","23,63,286","11,63,794","9,46,405","50,06,018","2,90,676",0,"16,75,341",0,"34,229","12,022",32,0,0,0,"4,13,380","3,89,266",0,832,632,224,"64,861","48,232","1,82,440",0,0,0,"1,47,230",0,0,"1,052",0,0,"1,12,075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,206",0,0,0,0,0,0,0,0,0,"3,557",0,0,0,0,0,0,0,0,0,0,0,0,"5,53,33,232"
5. INVERSIONES CREDITICIAS  .................................................................................................................................................................,"16,91,09,880","15,99,39,731","5,92,57,394","4,18,58,509","5,06,15,579","2,82,51,425","1,76,41,365","82,48,615","1,39,62,683","89,93,843","1,06,44,727","1,21,09,371","87,09,102","65,16,354","80,81,665","1,25,58,526","58,41,054","55,36,203","34,26,973","38,30,941","36,60,985","32,77,131","44,44,654","23,65,654","21,32,179","32,88,040","28,90,487","22,60,432","45,91,822","9,49,931","8,51,548","27,63,593","25,16,369","15,41,551","7,71,468","12,44,398","8,50,546","4,88,553","12,41,026","4,87,952","22,80,733","4,50,340","3,80,909","4,50,904","2,83,413","7,55,112","12,31,764","8,65,512","3,12,206","19,93,000","1,91,832","4,42,056","34,457","22,31,677","7,19,872","3,98,329","1,09,310","3,03,079","28,71,301","1,09,712","8,89,173","2,34,986","54,323","53,683","34,871","8,91,276","76,567","32,659","65,390","1,07,522","19,685","16,347","12,463","9,098","69,66,65,820"
5.1. Depósitos en entidades de crédito ..........................................................................................................,"2,17,84,868","5,61,85,058","1,42,74,872","27,89,777","1,51,57,803","30,47,014","18,75,342","82,48,609","15,09,188","3,77,962","3,22,686","30,04,843","2,34,597","65,16,354","62,92,233","97,58,465","11,22,954","4,51,774","30,54,332","56,987","18,85,713","70,245","41,56,752","5,01,604","2,03,278","12,58,594","94,150","7,73,442","2,72,187","9,46,692","8,08,592","19,04,891","20,50,817","35,255","1,08,690",0,"6,20,214","1,24,494","1,37,418","2,68,716",768,"46,153","3,63,976","4,14,685","26,646","15,037",0,143,"1,63,171","19,92,907","82,587","2,25,484","34,457","25,612","2,32,581","1,78,535","93,428","1,75,664","2,00,317","95,098","2,83,337","6,664","29,729","30,723","21,224",0,"63,899","32,659","51,237","91,242","19,672","16,347","11,979","9,098","17,73,22,521"
5.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,"4,58,018",0,0,"1,50,007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,08,025"
5.3. Crédito a la clientela ......................................................................................................................................................................,"14,65,16,754","9,77,00,657","4,47,31,792","3,86,10,160","3,49,02,532","2,49,34,748","1,56,75,267",6,"1,23,89,364","86,15,864","1,02,12,851","90,27,337","84,32,574",0,"17,87,892","27,97,497","46,91,081","50,49,398","1,97,806","37,58,602","17,73,203","31,93,932","2,57,279","18,55,467","19,08,420","20,11,910","27,82,057","14,69,873","43,14,843","3,229","3,446","8,57,289","1,11,095","14,99,330","6,62,704","12,44,398","2,29,920","3,63,164","10,88,569","1,94,926","22,78,798","4,04,158","16,932","36,200","2,56,755","7,35,584","12,31,613","8,65,305","1,48,726",79,"1,07,717","2,14,866",0,"22,05,620","4,82,685","2,19,743","10,724","23,880","26,70,582","13,514","6,05,826","2,26,833","23,269","22,699","13,645","8,91,113","11,048",0,"14,112",86,7,0,483,0,"50,95,89,838"
5.4. Valores representativos de deuda ..........................................................................................................,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,"2,557",0,0,"1,73,738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"5,158",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,"1,81,535"
5.5. Otros activos financieros ......................................................................................................................................................................,"8,08,258","55,95,998","2,50,730","4,58,558","4,05,237","2,69,663","90,756",0,"64,131",17,"1,09,190","77,191","41,931",0,"1,540",7,"27,019","35,031","1,096","15,352","2,069","12,954","30,623","8,584","20,481","17,536","14,280","17,117","4,792",10,"39,510","1,413","3,54,456","6,966",74,0,412,895,"15,039","24,310","1,167",29,2,19,12,"4,459",151,64,309,14,"1,528","1,706",0,445,"4,606",51,0,"1,03,535",402,"1,100",10,"1,489","1,289",261,2,163,"1,620",0,42,"16,194",6,0,1,0,"89,63,902"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"27,16,719","2,59,35,076",0,"12,88,608","35,60,362",0,"15,34,702",0,"3,28,026",0,"17,67,439","19,09,961","32,200",0,"12,43,995",0,"9,28,502",0,0,331,"17,51,218","11,121",0,"15,907",0,"9,99,743","8,165","13,83,297",0,0,"6,87,154",0,"18,55,441",0,0,0,"2,81,033","1,04,534","1,87,032","1,39,476",0,0,"25,400",0,0,0,0,0,0,0,0,"2,21,090",0,0,0,"1,03,506","87,488","4,568",0,"29,539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,91,41,633"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ..........................................................................................................,"39,09,863",0,"44,30,129",0,453,"4,60,132","27,428",0,0,0,"1,490",0,0,0,0,0,"87,644",0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,296","6,931",0,621,0,0,0,0,0,0,0,"89,36,021"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"22,21,799",0,"39,49,373",0,0,"4,44,444",0,0,0,0,"1,015",0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66,16,665"
9. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ..........................................................................................................,0,0,0,0,0,"-4,592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,592"
10. DERIVADOS DE COBERTURA ..........................................................................................................,"28,72,276","16,54,125","6,24,883","3,12,451","3,58,225","84,362","1,07,814",0,"7,703","2,13,761","1,22,649","1,01,258","63,016",0,444,"13,966","24,762","10,478","6,417","22,110",0,"20,112",0,88,0,"5,350","12,028","2,561","3,612",0,0,0,0,"18,000",0,0,"7,677",0,0,0,"24,040",0,0,0,0,0,0,12,"10,972",0,0,0,0,0,0,270,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,05,452"
11. ACTIVOS NO CORRIENTES EN VENTA ..........................................................................................................,"35,071","44,334","16,422","12,743","30,091","3,906","3,888",0,"2,676",0,"1,835",65,"6,807",0,0,"1,276","2,101",663,0,"5,666",0,"3,922",0,720,568,"2,718","3,355",661,0,0,0,9,0,605,0,243,0,0,255,372,233,21,0,0,15,79,0,0,0,0,17,0,1,0,0,0,0,0,429,0,0,13,0,1,0,253,"5,788",3,0,0,0,0,0,0,"1,87,825"
11.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.2. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4. Instrumentos de capital ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,514",0,0,0,0,0,0,0,"7,232"
11.5. Activo material ...............................................................................................................................................................................,"35,071","44,334","16,422","12,743","30,091","3,906","3,888",0,"2,676",0,"1,835",65,"6,807",0,0,"1,276","2,101",663,0,"5,666",0,"3,922",0,720,568,0,"3,355",661,0,0,0,9,0,605,0,243,0,0,255,372,233,21,0,0,15,79,0,0,0,0,17,0,1,0,0,0,0,0,429,0,0,13,0,1,0,253,"1,274",3,0,0,0,0,0,0,"1,80,593"
11.6. Resto de activos ..................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12. PARTICIPACIONES ..................................................................................................................................................................,"1,32,24,293","3,40,89,289","12,25,620","8,13,008","12,64,710","1,42,893","2,18,029",0,"35,916","2,368","1,03,005","41,458",361,7,"1,15,713","24,95,589","1,18,395","1,22,728",0,270,"13,869",177,"16,864",93,"22,124","41,311",180,"3,850",0,0,0,"1,56,633","3,036",90,"7,385","2,45,281",0,"14,559","4,775","4,396",0,"1,119",0,0,3,0,30,0,"3,996","1,39,732","23,290","6,897","1,48,712",676,"7,076","2,316","1,112","1,13,008","83,272",4,"21,838",0,"4,265","7,121",0,9,0,0,0,0,0,10,0,0,"5,51,12,761"
12.1. Entidades asociadas ......................................................................................................................................................................,"7,87,594","9,38,354","9,310","1,00,394","5,230",653,"83,788",0,221,762,"52,347",0,0,7,0,"39,693",456,0,0,0,240,0,"5,471",0,24,637,0,0,0,0,0,0,0,0,95,"2,33,870",0,"2,314",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,686","3,918",0,0,0,0,0,107,0,"1,762",0,0,0,0,0,0,0,0,0,0,10,0,0,"22,68,943"
12.2. Entidades multigrupo ......................................................................................................................................................................,"7,489","12,812","15,040","15,093","8,933","36,228","9,498",0,0,0,"33,612","3,167",361,0,0,0,0,0,0,270,"13,508",177,0,0,0,"10,513",180,0,0,0,0,0,214,90,0,"4,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,200",0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,"1,76,136"
12.3. Entidades del grupo ......................................................................................................................................................................,"1,24,29,210","3,31,38,124","12,01,270","6,97,521","12,50,547","1,06,012","1,24,743",0,"35,695","1,606","17,046","38,291",0,0,"1,15,713","24,55,896","1,17,939","1,22,728",0,0,120,0,"11,393",93,"22,100","30,161",0,"3,850",0,0,0,"1,56,633","2,822",0,"7,290","6,801",0,"12,245","4,775","4,396",0,"1,119",0,0,3,0,30,0,"3,996","1,39,732","23,290","1,011","1,44,794",676,"7,076","2,316","1,112","1,13,008","83,165",4,"20,076",0,"4,124","7,121",0,9,0,0,0,0,0,0,0,0,"5,26,67,682"
13. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ..........................................................................................................,"20,91,821","30,91,513","14,85,366","2,87,735","1,34,246",0,"52,993",0,"45,758","7,117","9,019",0,"12,599",0,552,"32,711",0,702,0,"10,003","2,115","9,031",0,"17,711",0,0,"7,337",0,0,0,0,0,0,"12,079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,10,408"
15. ACTIVO MATERIAL ..................................................................................................................................................................,"20,51,891","15,45,564","6,64,314","5,29,757","3,55,164","3,03,306","2,87,398",0,"2,06,160","26,520","1,68,780","43,900","64,683",0,859,"4,491","84,285","1,04,474",85,"28,545","18,501","24,708","1,466","28,571","32,780","78,034","20,695","5,259",210,30,336,"9,320","11,217","19,571",668,"2,490","1,685","10,298","26,220","7,590",213,"13,989",14,488,"9,051","4,053","2,418","1,006","4,174",12,"1,945",431,106,"4,472","4,661","5,048","1,351","3,100","3,964","3,869",127,"2,598","1,021","1,578",3,282,"28,263",2,"2,516",997,6,0,0,0,"68,71,583"
15.1. De uso propio ..................................................................................................................................................................,"20,39,786","15,37,956","6,46,286","5,28,889","3,54,296","3,03,193","2,79,008",0,"2,05,810","11,515","1,58,664","38,366","64,303",0,859,"4,491","84,285","1,04,438",85,"28,545","18,501","24,708","1,466","28,571","32,772","74,630","20,659","5,023",210,30,336,"6,428","11,217","18,964",668,"2,490","1,685","10,190","25,370","7,590",213,"11,154",14,488,"7,968","4,007","2,418","1,006","4,174",12,"1,945",431,106,"4,472","4,661","5,048","1,351","3,100","3,964","2,464",127,"1,061","1,021","1,578",3,282,"28,263",2,"2,516",997,6,0,0,0,"67,77,135"
15.2. Inversiones inmobiliarias ......................................................................................................................................................................,"12,105","7,608","18,028",868,868,0,"8,390",0,0,"15,005","10,116","5,534",380,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,"2,892",0,607,0,0,0,108,850,0,0,"2,537",0,0,"1,083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,405",0,"1,537",0,0,0,0,0,0,0,0,0,0,0,0,"89,957"
15.3. Otros activos cedidos en arrendamiento operativo ..........................................................................................................,0,0,0,0,0,113,0,0,350,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,8,"3,404",0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,490"
15.4. Afecto a la Obra social ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Adquirido en arrendamiento financiero ..........................................................................................................,0,"4,26,931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,26,931"
16. ACTIVO INTANGIBLE ..................................................................................................................................................................,"51,169",474,"30,707","7,159","9,141",296,"6,053",0,"7,365",0,325,0,74,0,0,"1,146",0,819,0,50,"8,467",25,506,"1,108","4,483",105,25,"12,612",258,0,"14,381","5,045","1,438",26,0,26,474,123,455,149,0,0,0,0,2,121,130,25,6,0,"10,575",0,0,112,0,"5,226",30,"2,796",0,"1,545",48,146,"1,227",0,0,24,0,0,32,"1,052",0,0,0,0,"1,87,581"
